pl_name	pl_orbsmax	pl_eqt	pl_orbper	pl_masse	pl_masseerr1	pl_masseerr2	pl_rade	pl_radeerr1	pl_radeerr2	st_rad	st_mass	st_teff	st_spectype	sy_jmag	sy_vmag	sy_kmag	sy_dist	sy_pnum	hostname	disc_year	TSM	td_perc	sig_prim_ppm	sig_seco_ppm	ARIEL	JWST
TOI-220 b	0.08911	805.0	10.695264	13.8	1.0	-1.0	3.03	0.15	-0.15	0.86	0.82	5298.0	K0 V	9.03	10.466	8.542	90.7402	1	TOI-220	2021	44.0	0.10433427343025528	123.0	10.0		
HD 22946 c	0.1017	931.0	9.573083	9.72			2.328	0.038	-0.039	1.12	1.1	6169.0		7.25	8.270001	6.981	62.7792	3	HD 22946	2022	43.0	0.036313536676597265	54.0	4.0		
TOI-1260 d	0.1116	499.0	16.608164	11.84	7.79	-7.79	3.12	0.08	-0.08	0.67	0.68	4227.0		9.698	11.922	8.95	73.5977	3	TOI-1260	2022	42.0	0.1822628782001803	159.0	13.0		
G 9-40 b	0.0385	456.0	5.746007	11.7			2.025	0.096	-0.097	0.31	0.29	3348.0	M2.5 V	10.058	13.821	9.19	27.9276	1	G 9-40	2019	41.0	0.3586454363454378	188.0	15.0		
TOI-1695 b	0.033548	698.0	3.1342791	6.36	1.0	-1.0	1.9	0.16	-0.14	0.52	0.51	3690.0	M1 V	9.64	12.989	8.818	45.1309	1	TOI-1695	2022	41.0	0.11221196204431565	156.0	12.0		
TOI-763 c	0.1011	800.0	12.2737	9.32	1.02	-1.02	2.63	0.12	-0.12	0.9	0.92	5450.0	G	8.858	10.265	8.49	95.1274	2	TOI-763	2020	41.0	0.07177366438886291	108.0	9.0		
K2-138 g	0.23109	498.2609371184205	41.96797	4.32	5.26	-3.03	3.013	0.303	-0.251	0.86	0.94	5356.3		10.756	12.246	10.305	202.585	6	K2-138	2021	39.0	0.10316681008311462	238.0	19.0		
TOI-1062 b	0.052	1077.0	4.11296	10.15	0.81	-0.84	2.265	0.096	-0.091	0.84	0.94	5328.0	G9 V	8.777	10.249	8.296	82.1733	2	TOI-1062	2021	39.0	0.061110590758485864	98.0	8.0		
HD 28109 d	0.411	506.5	84.25999	5.681	2.738	-2.11	3.25	0.11	-0.11	1.45	1.26	6120.0	F8/G0 V	8.476	9.42	8.175	139.611	3	HD 28109	2022	38.0	0.042224970905203864	81.0	7.0		
TOI-1452 b	0.061	326.0	11.06201	4.82	1.3	-1.3	1.672	0.071	-0.071	0.28	0.25	3185.0	M4 &#177 0.5 V	10.604	14.354	9.74	30.5212	1	TOI-1452	2022	38.0	0.2997057844041417	225.0	18.0		
TOI-132 b	0.026	1395.0	2.1097019	22.4	1.9	-1.92	3.42	0.13	-0.14	0.9	0.97	5397.0	G8 V	10.141	11.197	9.646	163.678	1	TOI-132	2020	37.0	0.12136845814713183	172.0	14.0		
HD 307842 b	0.038	1311.5375769889283	2.7970365	9.67	0.83	-0.82	1.93	0.11	-0.09	0.91	0.91	5558.0	G	8.071	9.412	7.64	64.5997	1	HD 307842	2023	36.0	0.03780684831647885	66.0	5.0		
TOI-1064 b	0.06152	784.0	6.443868	13.5	1.7	-1.8	2.587	0.043	-0.042	0.73	0.75	4734.0		9.097	10.938	8.467	68.0726	2	TOI-1064	2022	36.0	0.10555669373158785	105.0	8.0		
HD 219134 d	0.237	410.5	46.859	16.17	0.64	-0.64	1.61	0.02	-0.02	0.78	0.81	4699.0		3.981	5.56911	3.261	6.53127	6	HD 219134	2015	35.0	0.035809741682372505	10.0	1.0		
GJ 486 b	0.01734	701.0	1.467119	2.82	0.11	-0.12	1.305	0.063	-0.067	0.33	0.32	3340.0	M3.5 V	7.195	11.39	6.362	8.07426	1	GJ 486	2021	35.0	0.1314412816378461	284.0	23.0	True	True
HIP 9618 c	0.2669	486.9	52.563491	18.3	1.7	-1.7	3.343	0.039	-0.039	0.97	1.02	5609.0		7.922	9.2	7.559	67.5478	2	HIP 9618	2023	35.0	0.09983157576213615	59.0	5.0		
HD 23472 b	0.1162	543.0	17.667087	8.32	0.78	-0.79	2.0	0.11	-0.1	0.71	0.67	4684.0	K4 V	7.865	9.73	7.207	39.0341	5	HD 23472	2019	35.0	0.06669325829974367	58.0	5.0		
K2-18 b	0.1429	284.0	32.939623	8.92	1.7	-1.6	2.37	0.22	-0.22	0.41	0.36	3457.0		9.763	13.477	8.899	38.0266	2	K2-18	2015	35.0	0.2808455973503046	141.0	11.0		True
K2-32 c	0.13843	634.0	20.66093	8.1	2.4	-2.4	3.134	0.123	-0.102	0.86	0.83	5271.0		10.404	12.304	9.821	157.682	4	K2-32	2016	35.0	0.11161941018025859	182.0	15.0		
